KEYCODE,TYPE,BROKERS_WITH_DATA,TOTAL_BROKERS,COVERAGE_PCT,TOTAL_RECORDS,SAMPLE_BROKERS,STATUS
BS.25,BS,7,144,4.9,8,"CTS, DVSC, KISVN, MASC, ORS",PARTIAL
BS.76,BS,7,144,4.9,254,"BETA, BVS, HBS, HPC, SSI",PARTIAL
BS.77,BS,7,144,4.9,254,"BETA, BVS, HBS, HPC, SSI",PARTIAL
BS.113,BS,8,144,5.6,17,"ACBS, AGR, DASC, FPTS, MBS",PARTIAL
BS.134,BS,8,144,5.6,238,"LVSC, MBS, PHS, PSI, SHS",PARTIAL
BS.168,BS,8,144,5.6,89,"HSSC, PGSC, SBS, SSI, Sector",PARTIAL
BS.90,BS,8,144,5.6,165,"CTS, HPC, Sector, TCI, TVS",PARTIAL
BS.163,BS,9,144,6.2,204,"GLSC, SSI, Sector, TCI, TVS",PARTIAL
BS.69,BS,9,144,6.2,82,"APS, DNSE, DSE, DVSC, ECCS",PARTIAL
BS.133,BS,11,144,7.6,243,"AGR, CTS, ECCS, SASC, SHS",PARTIAL
BS.147,BS,11,144,7.6,57,"APG, ART, CTS, DDSC, EVS",PARTIAL
BS.41,BS,11,144,7.6,76,"BSI, CTS, DSC, HCM, HPC",PARTIAL
BS.43,BS,11,144,7.6,137,"ASIAS, DDSC, HAC, HCM, HFT",PARTIAL
BS.67,BS,11,144,7.6,85,"APS, DNSE, DSE, DVSC, ECCS",PARTIAL
BS.68,BS,11,144,7.6,86,"APS, DNSE, DSE, DVSC, ECCS",PARTIAL
BS.123,BS,12,144,8.3,120,"AAS, ABW, BMS, BMSC, DSE",PARTIAL
BS.138,BS,12,144,8.3,214,"ART, CTS, HPC, JBSV, MASC",PARTIAL
BS.139,BS,15,144,10.4,302,"FSC, HAC, HCM, HPC, PSI",PARTIAL
BS.128,BS,16,144,11.1,156,"ACBS, APSC, BVS, CTS, DASC",PARTIAL
BS.55,BS,20,144,13.9,123,"ACBS, APG, APS, AVS, BSI",PARTIAL
BS.153,BS,21,144,14.6,195,"ABSC, APSC, ATSC, BETA, BSI",PARTIAL
BS.151,BS,24,144,16.7,977,"AGR, BSI, BVS, CLS, CTS",PARTIAL
BS.52,BS,25,144,17.4,152,"ACBS, APG, APSC, ART, CASC",PARTIAL
BS.58,BS,25,144,17.4,81,"AGR, BETA, BVS, CASC, CTS",PARTIAL
BS.112,BS,26,144,18.1,401,"ABSC, ABW, AGR, APG, ART",PARTIAL
BS.127,BS,26,144,18.1,461,"AAS, ABW, APG, APS, BMSC",PARTIAL
BS.152,BS,27,144,18.8,526,"ABSC, ABW, AGR, BSI, BVS",PARTIAL
BS.117,BS,28,144,19.4,154,"ACBS, APS, AVS, BVS, CBVS",PARTIAL
BS.46,BS,29,144,20.1,175,"ACBS, APG, APSC, ART, CASC",PARTIAL
BS.56,BS,30,144,20.8,380,"ABSC, ACBS, APS, ASIAS, BETA",PARTIAL
BS.100,BS,31,144,21.5,521,"AAS, ABSC, ABW, ACBS, APG",PARTIAL
BS.111,BS,33,144,22.9,562,"AAS, ABW, ACBS, AGR, APSC",PARTIAL
BS.110,BS,34,144,23.6,166,"ACBS, AGR, APS, ART, AVS",PARTIAL
BS.15,BS,35,144,24.3,102,"ACBS, AGR, APS, ART, ASIAS",PARTIAL
BS.87,BS,35,144,24.3,147,"AAS, APG, APS, ART, BETA",PARTIAL
BS.22,BS,36,144,25.0,223,"AASC, ACBS, AGR, APS, ART",GOOD
BS.36,BS,36,144,25.0,772,"AAS, ABW, AGR, APG, ART",GOOD
BS.150,BS,39,144,27.1,434,"ACBS, AGR, APS, ART, ATSC",GOOD
BS.140,BS,43,144,29.9,811,"ABSC, ABW, ACBS, AGR, APG",GOOD
BS.59,BS,48,144,33.3,571,"ABW, ACBS, AGR, APG, BETA",GOOD
BS.122,BS,49,144,34.0,440,"AAS, ABW, ACBS, AGR, ATSC",GOOD
BS.135,BS,49,144,34.0,574,"ACBS, AGR, APS, APSC, ATSC",GOOD
BS.160,BS,51,144,35.4,181,"AAS, ABSC, APSC, ART, ASIAS",GOOD
BS.164,BS,51,144,35.4,181,"AGR, APS, APSC, AVS, BMSC",GOOD
BS.165,BS,51,144,35.4,177,"AGR, APS, APSC, AVS, BMSC",GOOD
BS.31,BS,53,144,36.8,504,"AASC, ABSC, ACBS, AGR, BETA",GOOD
BS.32,BS,53,144,36.8,504,"AASC, ABSC, ACBS, AGR, BETA",GOOD
BS.137,BS,55,144,38.2,514,"AASC, ACBS, AGR, APSC, AVS",GOOD
BS.17,BS,57,144,39.6,792,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.9,BS,58,144,40.3,1063,"AAS, ABSC, ACBS, AGR, APG",GOOD
BS.115,BS,59,144,41.0,431,"AGR, APS, ASIAS, AVS, BETA",GOOD
BS.155,BS,61,144,42.4,702,"ABSC, ACBS, AGR, APG, APS",GOOD
BS.80,BS,64,144,44.4,813,"AAS, ABSC, ACBS, AGR, APG",GOOD
BS.82,BS,64,144,44.4,810,"AAS, ABSC, ACBS, AGR, APG",GOOD
BS.154,BS,66,144,45.8,1876,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.157,BS,67,144,46.5,1225,"AASC, ABSC, ACBS, AGR, APS",GOOD
BS.14,BS,69,144,47.9,1034,"AAS, ABSC, ABW, ACBS, APG",GOOD
BS.57,BS,70,144,48.6,1202,"ABW, ACBS, AGR, APG, APS",GOOD
BS.75,BS,71,144,49.3,673,"ABSC, ACBS, AGR, APG, APS",GOOD
BS.96,BS,72,144,50.0,1517,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.38,BS,73,144,50.7,1490,"AAS, APG, APS, APSC, ART",GOOD
BS.61,BS,73,144,50.7,993,"AAS, ABSC, ACBS, AGR, APG",GOOD
BS.7,BS,74,144,51.4,1509,"AAS, ABW, ACBS, AGR, APG",GOOD
BS.28,BS,76,144,52.8,1878,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.108,BS,82,144,56.9,2037,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.84,BS,83,144,57.6,2357,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.60,BS,84,144,58.3,1481,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.86,BS,84,144,58.3,971,"ABW, ACBS, AGR, APG, APS",GOOD
BS.118,BS,86,144,59.7,2774,"AASC, ABW, AGR, APG, APS",GOOD
BS.19,BS,87,144,60.4,2078,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.162,BS,88,144,61.1,1976,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.12,BS,90,144,62.5,2427,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.16,BS,90,144,62.5,2316,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.20,BS,91,144,63.2,2488,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.35,BS,92,144,63.9,2481,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.121,BS,93,144,64.6,2375,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.144,BS,94,144,65.3,2861,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.159,BS,94,144,65.3,2814,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.54,BS,98,144,68.1,2443,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.29,BS,99,144,68.8,1389,"AASC, ABSC, ACBS, AGR, APG",GOOD
BS.148,BS,100,144,69.4,4228,"AAS, ABW, ACBS, AGR, AIS",GOOD
BS.156,BS,100,144,69.4,3814,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.40,BS,100,144,69.4,1667,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.88,BS,102,144,70.8,2978,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.146,BS,103,144,71.5,3266,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.161,BS,103,144,71.5,3143,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.39,BS,107,144,74.3,1489,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.24,BS,110,144,76.4,1736,"AASC, ABSC, ACBS, AGR, APG",GOOD
BS.8,BS,110,144,76.4,3932,"AAS, ABSC, ABW, ACBS, AGR",GOOD
BS.95,BS,111,144,77.1,2455,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.10,BS,112,144,77.8,3612,"AASC, ABSC, ABW, ACBS, AGR",GOOD
BS.5,BS,113,144,78.5,2587,"AASC, ABSC, ABW, ACBS, AGR",GOOD
BS.114,BS,116,144,80.6,1766,"AASC, ABSC, ACBS, AGR, APG",GOOD
BS.105,BS,117,144,81.2,3483,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.13,BS,119,144,82.6,1869,"AAS, AASC, ABSC, ACBS, AGR",GOOD
BS.104,BS,122,144,84.7,4238,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.109,BS,122,144,84.7,4392,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.6,BS,122,144,84.7,4631,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.89,BS,123,144,85.4,2808,"AAS, AASC, ABSC, ACBS, AGR",GOOD
BS.42,BS,124,144,86.1,3009,"AAS, AASC, ABSC, ABW, ACBS",GOOD
BS.85,BS,124,144,86.1,4688,"AAS, AASC, ABSC, ACBS, AGR",GOOD
BS.1,BS,125,144,86.8,5262,"AAS, AASC, ABSC, ABW, ACBS",GOOD
